species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	CELA3B	Acinar cells	CBPP|ELA3B	0.008	chymotrypsin like elastase family member 3B	protein-coding gene	1	Endoderm	Pancreas	0.75	0.835821	0.00129828	0.00556547
Mm Hs	PNLIP	Acinar cells	NA	0.006	pancreatic lipase	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.61194	0.00032457	0.00392437
Hs	CTRB2	Acinar cells	NA	0.001	chymotrypsinogen B2	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0	0.00129828	0.0
Mm Hs	PLA2G1B	Acinar cells	PLA2|PPLA2|PLA2A	0.004	phospholipase A2 group IB	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.238806	0.00162285	0.00321085
Mm Hs	PRSS2	Acinar cells	TRY2	0.011	serine protease 2	protein-coding gene	1	Endoderm	Pancreas	1.0	0.731343	0.0107108	0.00770603
Mm Hs	CLPS	Acinar cells	NA	0.022	colipase	protein-coding gene	1	Endoderm	Pancreas	0.583333	1.0	0.00032457	0.0233321
Hs	REG1A	Acinar cells	PSPS|PSPS1|REG	0.005	regenerating family member 1 alpha	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0	0.0282376	0.0
Mm Hs	SYCN	Acinar cells	SYL|FLJ27441|INSSA1	0.008	syncollin	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.701493	0.00162285	0.00613628
Mm Hs	PNLIPRP1	Acinar cells	PLRP1	0.008	pancreatic lipase related protein 1	protein-coding gene	1	Endoderm	Pancreas	0.5	0.656716	0.0	0.00734927
Mm Hs	CTRC	Acinar cells	CLCR|ELA4	0.003	chymotrypsin C	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.432836	0.0	0.00149839
Mm Hs	REG3A	Acinar cells	REG-III|REG3|PBCGF	0.005	regenerating family member 3 alpha	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0	0.0110354	0.00306814
Hs	SERPINA3	Acinar cells	AACT	0.0	serpin family A member 3	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.00032457	0.0
Mm Hs	PRSS3	Acinar cells	TRY4|PRSS4	0.006	serine protease 3	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.0298507	0.0298604	0.0
Hs	REG1B	Acinar cells	PSPS2|REGH|REGI-BETA	0.003	regenerating family member 1 beta	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0	0.0113599	0.0
Mm Hs	CFB	Acinar cells	H2-Bf|BFD|BF	0.001	complement factor B	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0	0.00171245
Mm Hs	GDF15	Acinar cells	PLAB|MIC-1|PDF|NAG-1|PTGFB	0.014	growth differentiation factor 15	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.0	0.055826	0.00264003
Mm Hs	MUC1	Acinar cells	CD227|PEM|ADMCKD|ADMCKD1|MCKD|MCKD1	0.013	mucin 1, cell surface associated	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.19403	0.027913	0.00827685
Hs	C15ORF48	Acinar cells	NMES1|MIR147BHG	0.02	chromosome 15 open reading frame 48	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0	0.10938	0.0
Mm Hs	DUOXA2	Acinar cells	NA	0.0	dual oxidase maturation factor 2	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0	0.000142704
Hs	AKR1C3	Acinar cells	KIAA0119|DDX|HAKRB|PGFS|HSD17B5	0.008	aldo-keto reductase family 1 member C3	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0	0.0402467	0.0
Mm Hs	OLFM4	Acinar cells	OlfD|GW112	0.014	olfactomedin 4	protein-coding gene	1	Endoderm	Pancreas	0.583333	0.0	0.0136319	0.0138423
Mm Hs	GSTA1	Acinar cells	NA	0.013	glutathione S-transferase alpha 1	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0	0.0269393	0.00884766
Mm Hs	LGALS2	Acinar cells	HL14	0.028	galectin 2	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0149254	0.032457	0.0263289
Mm Hs	PDZK1IP1	Acinar cells	DD96|MAP17|SPAP	0.026	PDZK1 interacting protein 1	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0746269	0.0408958	0.0225473
Mm Hs	RARRES2	Acinar cells	TIG2|HP10433	0.029	retinoic acid receptor responder 2	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0	0.0769231	0.017838
Mm Hs	CXCL17	Acinar cells	Dcip1|UNQ473|VCC1	0.007	C-X-C motif chemokine ligand 17	protein-coding gene	1	Endoderm	Pancreas	0.75	0.0	0.0240182	0.0034249
Mm Hs	UBD	Acinar cells	FAT10	0.0	ubiquitin D	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0	7.13521e-05
Mm Hs	GSTA2	Acinar cells	GST2	0.008	glutathione S-transferase alpha 2	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0	0.00584226	0.00706386
Mm Hs	ANPEP	Acinar cells	gp150|CD13|PEPN	0.013	alanyl aminopeptidase, membrane	protein-coding gene	1	Endoderm	Pancreas	0.75	0.0746269	0.0100617	0.0136283
Hs	LYZ	Acinar cells	NA	0.007	lysozyme	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0360273	0.0
Mm Hs	ANGPTL4	Acinar cells	pp1158|PGAR|ARP4|HFARP|FIAF	0.027	angiopoietin like 4	protein-coding gene	1	Endoderm	Pancreas	0.166667	0.0	0.0305096	0.0281127
Mm Hs	ALDOB	Acinar cells	NA	0.028	aldolase, fructose-bisphosphate B	protein-coding gene	1	Endoderm	Pancreas	0.583333	0.0	0.00421941	0.0334641
Mm Hs	CEBPA	Adipocyte progenitor cells	C/EBP-alpha|CEBP	0.019	CCAAT enhancer binding protein alpha	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.0	0.0220849
Mm Hs	EGFR	Adipocyte progenitor cells	ERBB1|ERBB	0.014	epidermal growth factor receptor	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.0229551	0.0132084
Mm Hs	FGF10	Adipocyte progenitor cells	NA	0.001	fibroblast growth factor 10	protein-coding gene	1	Mesoderm	Connective tissue	NA	NA	0.000646621	0.00156228
Mm Hs	GSC	Adipocyte progenitor cells	NA	0.0	goosecoid homeobox	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.0	0.000426076
Mm Hs	MMP3	Adipocyte progenitor cells	STMY1|STMY	0.003	matrix metallopeptidase 3	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.00226317	0.00319557
Mm Hs	PPARG	Adipocyte progenitor cells	PPARG1|PPARG2|NR1C3|PPARgamma	0.005	peroxisome proliferator activated receptor gamma	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.0113159	0.00276949
Mm Hs	TWIST2	Adipocyte progenitor cells	DERMO1|Dermo-1|bHLHa39	0.013	twist family bHLH transcription factor 2	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.00711284	0.0117881
Mm Hs	GATA3	Adipocyte progenitor cells	HDR	0.028	GATA binding protein 3	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.0200453	0.027837
Mm Hs	GLI1	Adipocyte progenitor cells	GLI	0.0	GLI family zinc finger 1	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.0	0.000213038
Mm Hs	SMO	Adipocyte progenitor cells	FZD11|SMOH	0.004	smoothened, frizzled class receptor	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.0	0.00575202
Mm Hs	STAB1	Adipocyte progenitor cells	KIAA0246|STAB-1|FEEL-1|CLEVER-1|FELE-1|FEX1|SCARH2	0.016	stabilin 1	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.00258649	0.0199546
Mm Hs	WISP2	Adipocyte progenitor cells	CTGF-L|CCN5	0.003	WNT1 inducible signaling pathway protein 2	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.00678952	0.00205937
Mm Hs	WT1	Adipocyte progenitor cells	WIT-2|AWT1|NPHS4|GUD	0.009	Wilms tumor 1	protein-coding gene	1	Mesoderm	Connective tissue	NA	NA	0.0232784	0.00610709
Mm Hs	SCARA5	Adipocyte progenitor cells	FLJ23907|MGC45780|NET33	0.008	scavenger receptor class A member 5	protein-coding gene	1	Mesoderm	Connective tissue	NA	NA	0.0119625	0.0073143
Mm Hs	HOXC8	Adipocyte progenitor cells	HOX3A	0.006	homeobox C8	protein-coding gene	1	Mesoderm	Connective tissue	NA	NA	0.00323311	0.00589405
Mm Hs	TCF7L1	Adipocyte progenitor cells	TCF3	0.009	transcription factor 7 like 1	protein-coding gene	1	Mesoderm	Connective tissue	NA	NA	0.00872939	0.00823747
Mm Hs	HOXC9	Adipocyte progenitor cells	HOX3B	0.007	homeobox C9	protein-coding gene	1	Mesoderm	Connective tissue	NA	NA	0.0164888	0.00461582
Mm Hs	HOXC6	Adipocyte progenitor cells	HOX3C	0.005	homeobox C6	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.0061429	0.00440278
Mm Hs	HOXC4	Adipocyte progenitor cells	HOX3E	0.002	homeobox C4	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.0	0.00291152
Hs	ZNF521	Adipocyte progenitor cells	EHZF|Evi3	0.002	zinc finger protein 521	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.0106693	0.0
Mm Hs	SULT1E1	Adipocyte progenitor cells	STE	0.002	sulfotransferase family 1E member 1	protein-coding gene	NA	Mesoderm	Connective tissue	NA	NA	0.0061429	0.000994177
Mm Hs	EBF2	Adipocyte progenitor cells	FLJ11500|COE2	0.005	early B cell factor 2	protein-coding gene	1	Mesoderm	Connective tissue	NA	NA	0.00129324	0.00646215
Mm Hs	NRG4	Adipocyte progenitor cells	NA	0.001	neuregulin 4	protein-coding gene	1	Mesoderm	Connective tissue	NA	NA	0.00161655	0.000355063
Mm Hs	SLC36A2	Adipocytes	PAT2|tramdorin|TRAMD1	0.002	solute carrier family 36 member 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.666667	0.0	0.00255754
Mm Hs	P2RX5	Adipocytes	P2X5	0.0	purinergic receptor P2X 5	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00194995	0.0
Mm Hs	LEP	Adipocytes	OBS	0.0	leptin	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0
Mm Hs	UCP1	Adipocytes	SLC25A7|UCP	0.0	uncoupling protein 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0
Mm Hs	CIDEA	Adipocytes	CIDE-A	0.004	cell death-inducing DFFA-like effector a	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.666667	0.0	0.00426257
Mm Hs	PRDM16	Adipocytes	MEL1|PFM13|KIAA1675|MGC166915|KMT8F	0.001	PR/SET domain 16	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00129997	0.000923558
Mm Hs	LHX8	Adipocytes	Lhx7	0.001	LIM homeobox 8	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.00170503
Mm Hs	EPSTI1	Adipocytes	BRESI1|MGC29634	0.034	epithelial stromal interaction 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0279493	0.0348821
Mm Hs	MC2R	Adipocytes	ACTHR	0.0	melanocortin 2 receptor	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0
Mm Hs	FFAR2	Adipocytes	FFA2R|GPR43	0.01	free fatty acid receptor 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0130719
Mm Hs	PIKFYVE	Adipocytes	MGC40423|KIAA0981|PIKfyve|PIP5K|p235|ZFYVE29|FAB1|PIP5K3	0.002	phosphoinositide kinase, FYVE-type zinc finger containing	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00357491	0.00241546
Mm Hs	CYP11B2	Adipocytes	CYP11BL|P-450C18|P450aldo|ALDOS	0.0	cytochrome P450 family 11 subfamily B member 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0
Mm Hs	TLR2	Adipocytes	TIL4|CD282	0.011	toll like receptor 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.000974976	0.0144928
Mm Hs	TLR4	Adipocytes	hToll|CD284|TLR-4|ARMD10	0.0	toll like receptor 4	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.000324992	0.000142086
Mm Hs	ADRB1	Adipocytes	ADRB1R	0.002	adrenoceptor beta 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00227494	0.00206024
Mm Hs	ADRB2	Adipocytes	ADRBR|B2AR|ADRB2R	0.013	adrenoceptor beta 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0100747	0.0139955
Mm Hs	ADRB3	Adipocytes	NA	0.001	adrenoceptor beta 3	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.166667	0.0	0.000639386
Mm Hs	FABP4	Adipocytes	A-FABP|aP2	0.024	fatty acid binding protein 4	protein-coding gene	1	Mesoderm	Connective tissue	0.0	1.0	0.00909977	0.0279909
Mm Hs	TNFRSF9	Adipocytes	CD137|4-1BB|ILA	0.002	TNF receptor superfamily member 9	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00227494	0.00241546
Mm Hs	TBX1	Adipocytes	VCF	0.003	T-box 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.000974976	0.00369423
Mm Hs	TMEM26	Adipocytes	MGC35010|Em:AC068892.1	0.002	transmembrane protein 26	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.00277067
Mm Hs	TCF21	Adipocytes	POD1|bHLHa23	0.012	transcription factor 21	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00617485	0.0144928
Mm Hs	ADIPOQ	Adipocytes	ACRP30|AdipoQ|apM1|GBP28|adiponectin|ACDC	0.001	adiponectin, C1Q and collagen domain containing	protein-coding gene	1	Mesoderm	Connective tissue	0.0	1.0	0.0	0.000852515
Mm Hs	CFD	Adipocytes	ADN|DF|PFD	0.02	complement factor D	protein-coding gene	1	Mesoderm	Connective tissue	0.0	1.0	0.101722	0.000710429
Mm Hs	ACVR1C	Adipocytes	ALK7|ACVRLK7	0.002	activin A receptor type 1C	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.166667	0.00292493	0.00163399
Mm Hs	SLC2A4	Adipocytes	GLUT4	0.001	solute carrier family 2 member 4	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.166667	0.00259994	0.000994601
Mm Hs	LPIN1	Adipocytes	KIAA0188	0.012	lipin 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.166667	0.0269743	0.00937766
Mm Hs	PLIN1	Adipocytes	PLIN	0.0	perilipin 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.333333	0.0	7.10429e-05
Mm Hs	PCK1	Adipocytes	PEPCK-C	0.009	phosphoenolpyruvate carboxykinase 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.666667	0.0162496	0.00781472
Mm Hs	PPARG	Adipocytes	PPARG1|PPARG2|NR1C3|PPARgamma	0.005	peroxisome proliferator activated receptor gamma	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.166667	0.0113747	0.00269963
Mm Hs	RETN	Adipocytes	FIZZ3|ADSF|RETN1	0.001	resistin	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.5	0.00487488	7.10429e-05
Mm Hs	MEST	Adipocytes	PEG1	0.042	mesoderm specific transcript	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.107572	0.0224496
Mm Hs	ADM2	Adipocytes	AM2|FLJ21135	0.0	adrenomedullin 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0625	0.0	0.0	0.000142086
Mm Hs	STAT6	Adipocytes	D12S1644|IL-4-STAT	0.01	signal transducer and activator of transcription 6	protein-coding gene	1	Mesoderm	Connective tissue	0.5	0.0	0.00552486	0.0105854
Mm Hs	TFE3	Adipocytes	TFEA|bHLHe33	0.004	transcription factor binding to IGHM enhancer 3	protein-coding gene	1	Mesoderm	Connective tissue	0.8125	0.0	0.000974976	0.00390736
Mm Hs	CPPED1	Adipocytes	CSTP1|FLJ11151	0.008	calcineurin like phosphoesterase domain containing 1	protein-coding gene	1	Mesoderm	Connective tissue	0.3125	0.166667	0.0107247	0.00753055
Mm Hs	APPL2	Adipocytes	FLJ10659|DIP13B	0.012	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	protein-coding gene	NA	Mesoderm	Connective tissue	0.5	0.0	0.00357491	0.0138534
Mm Hs	APOL6	Adipocytes	APOL-VI|APOLVI	0.003	apolipoprotein L6	protein-coding gene	NA	Mesoderm	Connective tissue	0.5625	0.0	0.0165746	0.0
Mm Hs	PXMP2	Adipocytes	PMP22	0.007	peroxisomal membrane protein 2	protein-coding gene	NA	Mesoderm	Connective tissue	0.25	0.166667	0.0233994	0.00234442
Hs	CAVIN1	Adipocytes	cavin-1|CGL4|PTRF	0.025	caveolae associated protein 1	protein-coding gene	1	Mesoderm	Connective tissue	1.0	0.0	0.129997	0.0
Mm Hs	AGT	Adipocytes	SERPINA8	0.019	angiotensinogen	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.166667	0.0165746	0.0199631
Mm Hs	SLC1A5	Adipocytes	AAAT|ASCT2|RDRC|M7V1	0.037	solute carrier family 1 member 5	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.333333	0.0477738	0.0321114
Mm Hs	ACSL1	Adipocytes	LACS|ACS1|LACS1|FACL1|FACL2	0.023	acyl-CoA synthetase long chain family member 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0625	0.5	0.0191745	0.0240835
Mm	CAR3	Adipocytes	NA	0.006	carbonic anhydrase 3	protein coding gene	1	Mesoderm	Connective tissue	0.0	1.0	0.0	0.00674908
Mm Hs	BCAT2	Adipocytes	BCAM|BCT2	0.019	branched chain amino acid transaminase 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.333333	0.0149496	0.0179739
Mm Hs	PNPLA2	Adipocytes	desnutrin|TTS-2.2|ATGL|FP17548|iPLA2zeta	0.019	patatin like phospholipase domain containing 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	1.0	0.0165746	0.0181159
Mm Hs	CIDEC	Adipocytes	CIDE-3|FLJ20871|Fsp27	0.002	cell death inducing DFFA like effector c	protein-coding gene	1	Mesoderm	Connective tissue	0.0	1.0	0.0	0.00191816
Mm Hs	CDO1	Adipocytes	NA	0.035	cysteine dioxygenase type 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.666667	0.0123497	0.0412049
Mm Hs	APOC1	Adipocytes	NA	0.041	apolipoprotein C1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	1.0	0.077998	0.028133
Mm Hs	MMP2	Adipocytes	TBE-1|CLG4|CLG4A	0.045	matrix metallopeptidase 2	protein-coding gene	1	Mesoderm	Connective tissue	1.0	0.0	0.0649984	0.0375107
Mm Hs	POSTN	Adipocytes	OSF-2|PN|periostin	0.032	periostin	protein-coding gene	1	Mesoderm	Connective tissue	0.5	0.0	0.0214495	0.0338164
Mm Hs	LOX	Adipocytes	NA	0.015	lysyl oxidase	protein-coding gene	1	Mesoderm	Connective tissue	0.5	0.0	0.0129997	0.014919
Mm Hs	COL6A2	Adipocytes	NA	0.054	collagen type VI alpha 2 chain	protein-coding gene	1	Mesoderm	Connective tissue	1.0	0.0	0.101397	0.0407786
Mm Hs	ZBTB16	Adipocytes	PLZF|ZNF145	0.007	zinc finger and BTB domain containing 16	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.166667	0.0123497	0.00618073
Mm Hs	GULP1	Adipocytes	CED6|CED-6|GULP	0.011	GULP, engulfment adaptor PTB domain containing 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0308742	0.00490196
Mm Hs	FZD4	Adipocytes	CD344	0.005	frizzled class receptor 4	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.000649984	0.00660699
Mm Hs	TRIP10	Adipocytes	HSTP|CIP4|STOT	0.006	thyroid hormone receptor interactor 10	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00519987	0.00568343
Mm Hs	FGF7	Adipocytes	KGF	0.004	fibroblast growth factor 7	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0116997	0.0029838
Mm Hs	MAOB	Adipocytes	NA	0.01	monoamine oxidase B	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.166667	0.0100747	0.0103012
Mm Hs	SOCS1	Adipocytes	SOCS-1|SSI-1|JAB|TIP3|Cish1	0.01	suppressor of cytokine signaling 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0191745	0.00895141
Mm Hs	ARNT	Adipocytes	HIF-1beta|bHLHe2	0.005	aryl hydrocarbon receptor nuclear translocator	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.000649984	0.00632282
Mm Hs	SULT1A1	Adipocytes	P-PST|STP1	0.01	sulfotransferase family 1A member 1	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.0211245	0.00873828
Mm Hs	NNMT	Adipocytes	NA	0.016	nicotinamide N-methyltransferase	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.166667	0.0614235	0.00568343
Mm Hs	AOC3	Adipocytes	VAP1|HPAO|VAP-1	0.004	amine oxidase, copper containing 3	protein-coding gene	1	Mesoderm	Connective tissue	0.0625	0.166667	0.00259994	0.00426257
Mm Hs	H6PD	Adipocytes	NA	0.005	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.166667	0.00129997	0.0054703
Mm Hs	CYP27A1	Adipocytes	CTX|CYP27	0.007	cytochrome P450 family 27 subfamily A member 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0149496	0.0039784
Mm Hs	EBF2	Adipocytes	FLJ11500|COE2	0.005	early B cell factor 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00129997	0.0064649
Mm Hs	MNDA	Adipocytes	PYHIN3	0.018	myeloid cell nuclear differentiation antigen	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0425739	0.0117931
Mm Hs	HSD11B1	Adipocytes	SDR26C1|HSD11B|HSD11	0.02	hydroxysteroid 11-beta dehydrogenase 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0100747	0.0230889
Mm Hs	AR	Adipocytes	AIS|NR3C4|SMAX1|HUMARA|DHTR|SBMA	0.011	androgen receptor	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00194995	0.0138534
Mm Hs	GDF10	Adipocytes	BMP-3b	0.005	growth differentiation factor 10	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.000324992	0.00625178
Mm Hs	CYP1B1	Adipocytes	CP1B|GLC3A	0.014	cytochrome P450 family 1 subfamily B member 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0484238	0.00674908
Mm Hs	COL5A3	Adipocytes	NA	0.006	collagen type V alpha 3 chain	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.000974976	0.00753055
Mm Hs	STEAP4	Adipocytes	FLJ23153|TIARP|STAMP2|SchLAH|TNFAIP9	0.006	STEAP4 metalloreductase	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00552486	0.00603865
Mm Hs	CCL11	Adipocytes	eotaxin|MGC22554|SCYA11	0.009	C-C motif chemokine ligand 11	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00324992	0.0103723
Mm Hs	NR1H3	Adipocytes	LXR-a|RLD-1|LXRa	0.007	nuclear receptor subfamily 1 group H member 3	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.00974976	0.00745951
